Saket; 3,000 - 78,605 / sqft; 17,748 / sqft;-7%
Uttam Nagar; 1,250 - 38,000 / sqft; 21,829.6 / sqft;5.4%
Dwarka Mor; 1,200 - 14,000 / sqft; 11,684.39 / sqft;-
Paschim Vihar; 4,825 - 23,333 / sqft; 17,185.47 / sqft;-3.9%
Greater kailash 1; 13,514 - 78,566 / sqft; 35,575.43 / sqft;-15%
Safdarjung Enclave; 17,921 - 87,493 / sqft; 64,844.31 / sqft;-20.9%
Chattarpur; 2,500 - 76,782 / sqft; 17,498.94 / sqft;32.2%
Rohini sector 24; 5,556 - 15,556 / sqft; 12,896.94 / sqft;-61.6%
Defence Colony; 20,481 - 1,01,187 / sqft; 74,285.26 / sqft;21.8%
Greater Kailash; 4,444 - 62,500 / sqft; 50,481.56 / sqft;55.5%
Hauz Khas; 8,667 - 1,16,458 / sqft; 46,245.72 / sqft;14%
Pitampura; 3,960 - 30,000 / sqft; 24,486.96 / sqft;-8.5%
Vasant Vihar; 12,308 - 93,425 / sqft; 23,254.72 / sqft;-24.8%
Vasant Kunj; 3,385 - 84,219 / sqft; 28,259.4 / sqft;7%
Panchsheel Park; 16,667 - 1,18,765 / sqft; 52,921.67 / sqft;39.2%
Sector 19 Dwarka; 4,167 - 17,292 / sqft; 16,357.75 / sqft;-12.8%
Green Park; 16,667 - 20,000 / sqft; 20,000 / sqft;-9.3%
Panchsheel Enclave;-;-;26.2%
New Friends Colony; 8,571 - 20,238 / sqft; 16,349.14 / sqft;-21.3%
Sector 6 Dwarka; 4,667 - 18,500 / sqft; 14,801.18 / sqft;16.7%
Anand Niketan; 22,857 - 1,19,899 / sqft; 86,224.03 / sqft;113%
Sarvodaya Enclave; 88,889 / sqft; 88,889 / sqft;36.1%
Lajpat Nagar; 13,333 - 18,803 / sqft; 16,178.13 / sqft;-18.8%
Malviya Nagar; 4,923 - 17,500 / sqft; 15,431.39 / sqft;41.1%
Greater Kailash II; 14,444 / sqft; 14,444.44 / sqft;53.4%
Gulmohar park;-;-;-22.6%
Sector 12 Dwarka; 5,556 - 17,361 / sqft; 14,922.41 / sqft;-25.7%
Shanti Niketan; 23,840 / sqft; 23,840.18 / sqft;-39.3%
Sector 22 Dwarka; 5,625 - 17,143 / sqft; 15,902.88 / sqft;3.4%
Jor bagh; 62,500 / sqft; 62,500 / sqft;-
Geetanjali Enclave; 94,826 / sqft; 94,825.85 / sqft;30.9%
Sector 10 Dwarka; 1,305 - 17,188 / sqft; 14,913.69 / sqft;-
Golf Links; 1,36,717 / sqft; 1,36,717.2 / sqft;-
Sarvpriya Vihar; 11,250 - 55,898 / sqft; 33,574.12 / sqft;-11.7%
Maharani Bagh; 15,476 / sqft; 15,476.19 / sqft;239.9%
Sector 4 Dwarka; 6,750 - 14,500 / sqft; 14,98.44 / sqft;8.4%
Niti Bagh; 72,167 - 74,651 / sqft; 74,650.8 / sqft;-19.9%
Friends Colony;-;-;-
vikaspuri; 5,067 - 14,333 / sqft; 13,68.88 / sqft;3.4%
Sector 11 Rohini; 6,250 - 13,888 / sqft; 11,444.15 / sqft;-
Sunder Nagar; 1,30,270 - 1,30,271 / sqft; 1,30,270.66 / sqft;-
Sector-18 Dwarka; 6,111 - 20,526 / sqft; 15,763.19 / sqft;6.4%
Uday Park; 55,636 / sqft; 55,635.81 / sqft;-54.9%
Sector 11 Dwarka; 5,759 - 18,773 / sqft; 16,294.51 / sqft;-14.6%
Kalkaji; 5,714 - 44,444 / sqft; 18,280.55 / sqft;18.2%
Navjeevan Vihar; 65,453 - 65,525 / sqft; 65,524.61 / sqft;19%
Sector 8 Dwarka; 3,333 - 12,222 / sqft; 10,358.75 / sqft;-
Rajouri Garden; 6,977 - 14,444 / sqft; 11,710.82 / sqft;-34.3%
Sector 23 Rohini; 6,250 - 10,000 / sqft; 8,431.29 / sqft;26.5%
Govindpuri; 2,833 - 6,111 / sqft; 5,305.7 / sqft;-
Sector 25 Rohini; 10,278 - 12,500 / sqft; 11,388.89 / sqft;-
Sheikh Sarai; 4,259 - 28,736 / sqft; 16,39.47 / sqft;6.6%
Sector 5 Dwarka; 5,584 - 16,500 / sqft; 14,883.65 / sqft;11.3%
Preet Vihar;-;-;108.3%
East of Kailash; 2,667 - 16,216 / sqft; 11,255.65 / sqft;-47.6%
Sector 23 Dwarka; 4,940 - 15,000 / sqft; 13,175.25 / sqft;-17.4%
Sector 7 Dwarka; 4,321 - 12,500 / sqft; 12,340.84 / sqft;-28.6%
Sainik Farm; 2,778 - 1,17,693 / sqft; 55,737.22 / sqft;2.9%
Khanpur; 2,000 - 6,410 / sqft; 5,491.73 / sqft;5.8%
Burari; 2,078 - 7,500 / sqft; 5,862.33 / sqft;59.9%
Ghitorni; 1,250 - 1,01,272 / sqft; 47,312.41 / sqft;-11.1%
laxmi nagar; 3,194 - 7,477 / sqft; 6,787.63 / sqft;-16.3%
Sector 9 Dwarka; 5,469 - 15,000 / sqft; 14,123.79 / sqft;-12.3%
Shahdara; 1,000 - 11,304 / sqft; 9,75.02 / sqft;-31.8%
Patel Nagar; 4,590 - 40,000 / sqft; 16,816.34 / sqft;160.8%
